"","WaveHeight","WaveDir","WavePeriod","WindSpeed","WindDirection","Tide","DateTime"
"3",1.4,"NE",5.5,5.7,"N",0.06,2019-02-17 08:00:00
"4",1.3,"E",5.4,6.2,"N",0.18,2019-02-17 07:00:00
"5",1.3,"E",5,6.8,"N",0.27,2019-02-17 06:00:00
"6",1.2,"NE",4.7,8.2,"N",0.34,2019-02-17 05:00:00
"7",1.1,"NE",4.7,8.8,"N",0.28,2019-02-17 04:00:00
"8",1.1,"NE",5,8.3,"NNE",0.16,2019-02-17 03:00:00
"9",0.8,"NE",4.9,5.9,"NNW",-0.08,2019-02-17 02:00:00
"10",0.933333333333333,"-",4.93333333333333,4.1,"NW",-0.35,2019-02-17 01:00:00
"11",1.06666666666667,"-",4.96666666666667,3.4,"NW",-0.52,2019-02-17 00:00:00
"12",1.2,"NE",5,3.4,"WNW",-0.68,2019-02-16 23:00:00
"13",1.2,"E",4.7,7.4,"N",-0.69,2019-02-16 22:00:00
"14",1.2,"NE",4.7,6.8,"N",-0.59,2019-02-16 21:00:00
"15",1.2,"NE",4.6,7.6,"NNE",-0.4,2019-02-16 20:00:00
"16",1.2,"NE",4.7,7.4,"NNE",-0.13,2019-02-16 19:00:00
"17",1.1,"NE",4.8,7.1,"N",0.14,2019-02-16 18:00:00
"18",1.1,"E",4.5,7.7,"NNE",0.38,2019-02-16 17:00:00
"19",1,"NE",4.5,8.6,"NNE",0.5,2019-02-16 16:00:00
"20",0.9,"NE",4.5,7.5,"NNE",0.56,2019-02-16 15:00:00
"21",1,"NE",4.4,7.5,"NNE",0.5,2019-02-16 14:00:00
"22",1,"NE",4.8,7.5,"NNE",0.36,2019-02-16 13:00:00
"23",1,"NE",4.9,6.5,"NNE",0.17,2019-02-16 12:00:00
"24",0.9,"NE",4.3,6.7,"NNE",0.04,2019-02-16 11:00:00
"25",1,"E",4.5,6.9,"NNE",-0.04,2019-02-16 10:00:00
"26",1,"NE",4.3,6.3,"NNE",-0.1,2019-02-16 09:00:00
"27",1.1,"NE",4.2,8,"NNE",-0.06,2019-02-16 08:00:00
"28",1.2,"E",5.1,6.5,"NNE",0.01,2019-02-16 07:00:00
"29",1,"NE",4.9,7.8,"NNE",0.1,2019-02-16 06:00:00
"30",1,"NE",5.2,5.8,"NE",0.13,2019-02-16 05:00:00
"31",0.9,"NE",5.4,5.2,"NE",0.15,2019-02-16 04:00:00
"32",1.1,"NE",5.6,6.8,"NNE",0.11,2019-02-16 03:00:00
"33",1,"NE",5.3,7.2,"NNE",0.02,2019-02-16 02:00:00
"34",0.9,"NE",5.7,5.5,"NNE",-0.13,2019-02-16 01:00:00
"35",0.9,"E",6.3,3.7,"NE",-0.32,2019-02-16 00:00:00
"36",1,"E",6.7,1.6,"N",-0.48,2019-02-15 23:00:00
"37",0.7,"NE",6.1,3.5,"NNE",-0.57,2019-02-15 22:00:00
"38",1.1,"NE",6.7,3,"N",-0.57,2019-02-15 21:00:00
"39",0.9,"NE",6.1,3.1,"N",-0.53,2019-02-15 20:00:00
"40",0.8,"NE",6,4.9,"NNE",-0.35,2019-02-15 19:00:00
"41",0.9,"E",6.4,3.8,"ENE",-0.12,2019-02-15 18:00:00
"42",0.9,"E",6.7,3.3,"E",0.1,2019-02-15 17:00:00
"43",0.8,"E",6.4,2.1,"ENE",0.27,2019-02-15 16:00:00
"44",0.9,"E",6.5,2.8,"NNE",0.4,2019-02-15 15:00:00
"45",0.9,"NE",6.3,3.2,"E",0.45,2019-02-15 14:00:00
"46",1,"E",6.6,3.9,"E",0.43,2019-02-15 13:00:00
"47",1.1,"NE",6.6,3.1,"-",0.3,2019-02-15 12:00:00
"48",1.1,"NE",6.7,2.3,"E",0.2,2019-02-15 11:00:00
"49",1,"NE",6.5,2.6,"NE",0.1,2019-02-15 10:00:00
"50",1,"NE",6.5,1.1,"NNW",0.01,2019-02-15 09:00:00
"51",1.1,"NE",6.6,2.4,"NNW",-0.07,2019-02-15 08:00:00
"52",1.2,"NE",6.7,2.2,"WNW",-0.07,2019-02-15 07:00:00
"53",1.1,"NE",6.8,2.9,"NW",-0.06,2019-02-15 06:00:00
"54",1,"E",6.7,2.7,"WNW",-0.03,2019-02-15 05:00:00
"55",1.1,"NE",7.2,2.3,"NW",0.04,2019-02-15 04:00:00
"56",1.1,"NE",7.2,3.2,"NW",0.06,2019-02-15 03:00:00
"57",1,"NE",7.2,3.5,"WNW",0.08,2019-02-15 02:00:00
"58",1,"E",7,3.1,"WNW",0.02,2019-02-15 01:00:00
"59",1,"E",7,3.4,"WNW",-0.12,2019-02-15 00:00:00
"60",1.1,"E",6.8,2.6,"WNW",-0.21,2019-02-14 23:00:00
"61",1.2,"NE",6.8,2.6,"WNW",-0.33,2019-02-14 22:00:00
"62",1.2,"E",6.9,3.3,"N",-0.42,2019-02-14 21:00:00
"63",1.4,"NE",6.4,4.2,"NNE",-0.45,2019-02-14 20:00:00
"64",1.4,"NE",6.3,5.8,"NNE",-0.38,2019-02-14 19:00:00
"65",1.4,"NE",6,6.7,"NE",-0.29,2019-02-14 18:00:00
"66",1.5,"NE",6.5,5.8,"NNE",-0.12,2019-02-14 17:00:00
"67",1.4,"NE",6,3.2,"N",0.06,2019-02-14 16:00:00
"68",1.4,"NE",6,3.4,"N",0.22,2019-02-14 15:00:00
"69",1.2,"E",4.9,7.2,"NNE",0.36,2019-02-14 14:00:00
"70",1.4,"NE",4.9,7.5,"NE",0.4,2019-02-14 13:00:00
"71",1.4,"NE",5.8,7.1,"NE",0.4,2019-02-14 12:00:00
"72",1.2,"NE",5.9,3,"NE",0.37,2019-02-14 11:00:00
"73",1.1,"NE",6.9,2.45,"-",0.26,2019-02-14 10:00:00
"74",1.2,"NE",7.4,1.9,"NW",0.16,2019-02-14 09:00:00
"75",1.4,"NE",7,2.9,"NNW",0.02,2019-02-14 08:00:00
"76",1.3,"NE",6.9,2.6,"WNW",-0.05,2019-02-14 07:00:00
"77",1.3,"NE",7,3,"NW",-0.1,2019-02-14 06:00:00
"78",1.1,"NE",6.7,2.6,"NW",-0.09,2019-02-14 05:00:00
"79",1,"E",6.7,2.7,"NW",-0.09,2019-02-14 04:00:00
"80",1.1,"NE",6.8,2.6,"WNW",0,2019-02-14 03:00:00
"81",1,"NE",6.9,3.6,"WNW",0.04,2019-02-14 02:00:00
"82",1,"E",7.2,2.5,"WNW",0.09,2019-02-14 01:00:00
"83",1,"NE",7,2.7,"WNW",0.08,2019-02-14 00:00:00
"84",0.8,"NE",6.2,2.9,"WNW",0.05,2019-02-13 23:00:00
"85",0.9,"E",5.8,3.5,"W",-0.06,2019-02-13 22:00:00
"86",0.8,"NE",5.1,2.7,"W",-0.19,2019-02-13 21:00:00
"87",0.8,"NE",5.3,3.3,"W",-0.3,2019-02-13 20:00:00
"88",1,"NE",4.5,4.2,"NNW",-0.37,2019-02-13 19:00:00
"89",0.8,"NE",4.3,5.3,"N",-0.38,2019-02-13 18:00:00
"90",1,"NE",4.3,6.2,"NNE",-0.34,2019-02-13 17:00:00
"91",1,"NE",4.5,6.1,"NNE",-0.23,2019-02-13 16:00:00
"92",1,"NE",4.4,7.8,"NNE",-0.08,2019-02-13 15:00:00
"93",1,"NE",4.5,8,"NE",0.08,2019-02-13 14:00:00
"94",1,"NE",4.4,7.4,"NNE",0.22,2019-02-13 13:00:00
"95",1,"E",4.6,8.5,"NNE",0.26,2019-02-13 12:00:00
"96",1,"NE",4.5,5.7,"NE",0.26,2019-02-13 11:00:00
"97",1.3,"E",4.5,6.6,"NE",0.23,2019-02-13 10:00:00
"98",1.3,"NE",4.5,6.4,"NE",0.12,2019-02-13 09:00:00
"99",1.1,"E",4.5,6.3,"NE",-0.02,2019-02-13 08:00:00
"100",1.3,"E",5.5,5.7,"NE",-0.18,2019-02-13 07:00:00
"101",1.15,"-",5.8,4.3,"NE",-0.26,2019-02-13 06:00:00
"102",1,"NE",6.1,3.1,"N",-0.33,2019-02-13 05:00:00
"103",1,"NE",6.1,2.2,"NW",-0.32,2019-02-13 04:00:00
"104",1,"NE",5.9,2,"NW",-0.27,2019-02-13 03:00:00
"105",1.1,"NE",6.1,2.3,"WNW",-0.14,2019-02-13 02:00:00
"106",1.2,"NE",6.3,1.8,"NW",-0.02,2019-02-13 01:00:00
"107",1.1,"NE",6.3,1.45,"-",0.06,2019-02-13 00:00:00
"108",1.1,"NE",6.5,1.1,"WNW",0.09,2019-02-12 23:00:00
"109",1,"E",6.2,1.6,"-",0.09,2019-02-12 22:00:00
"110",1.2,"NE",6.3,2.1,"W",0,2019-02-12 21:00:00
"111",1.1,"E",6.2,1.8,"W",-0.11,2019-02-12 20:00:00
"112",1.2,"E",6,3.6,"S",-0.23,2019-02-12 19:00:00
"113",1.1,"NE",5.6,4.8,"SSE",-0.3,2019-02-12 18:00:00
"114",1.4,"NE",6.3,3.5,"SE",-0.32,2019-02-12 17:00:00
"115",1.3,"NE",6.3,2.2,"E",-0.3,2019-02-12 16:00:00
"116",1.3,"NE",6.5,1.2,"ESE",-0.18,2019-02-12 15:00:00
"117",1.2,"NE",6.6,2.4,"NNE",-0.03,2019-02-12 14:00:00
"118",1.2,"NE",6.6,2.6,"NNW",0.14,2019-02-12 13:00:00
"119",1.3,"E",7,2.1,"N",0.26,2019-02-12 12:00:00
"120",1.1,"E",6.4,2.9,"N",0.33,2019-02-12 11:00:00
"121",1.4,"NE",6.6,2.8,"NW",0.35,2019-02-12 10:00:00
"122",1.4,"NE",6.7,4,"WNW",0.27,2019-02-12 09:00:00
"123",1.2,"NE",6.3,4.6,"W",0.13,2019-02-12 08:00:00
"124",1.2,"E",6,3.8,"WNW",-0.05,2019-02-12 07:00:00
"125",1.2,"NE",6.6,3.6,"NW",-0.23,2019-02-12 06:00:00
"126",1.3,"NE",6.4,3.8,"WNW",-0.36,2019-02-12 05:00:00
"127",1.2,"NE",6.8,4.1,"NW",-0.4,2019-02-12 04:00:00
"128",1.5,"NE",6.9,3.8,"WNW",-0.35,2019-02-12 03:00:00
"129",1.4,"NE",7,3.7,"WNW",-0.23,2019-02-12 02:00:00
"130",1.3,"NE",6.9,4.6,"WNW",-0.07,2019-02-12 01:00:00
"131",1.3,"NE",6.9,3.9,"WNW",0.1,2019-02-12 00:00:00
"132",1.2,"NE",6.8,4.6,"WNW",0.22,2019-02-11 23:00:00
"133",1.1,"NE",6.2,4,"WNW",0.26,2019-02-11 22:00:00
"134",1.4,"NE",5.9,3.6,"NNW",0.21,2019-02-11 21:00:00
"135",1.5,"NE",5.8,4.5,"N",0.11,2019-02-11 20:00:00
"136",1.5,"NE",5.5,5,"NNE",-0.06,2019-02-11 19:00:00
"137",1.7,"NE",5.7,5.6,"N",-0.22,2019-02-11 18:00:00
"138",1.4,"NE",5.4,6,"N",-0.36,2019-02-11 17:00:00
"139",1.2,"NE",5.6,6.5,"N",-0.41,2019-02-11 16:00:00
"140",1.3,"NE",6.1,5.5,"N",-0.37,2019-02-11 15:00:00
"141",1.1,"NE",6.1,6.5,"N",-0.25,2019-02-11 14:00:00
"142",1.2,"NE",6.3,5.3,"N",-0.06,2019-02-11 13:00:00
"143",1,"NE",5.9,3.6,"N",0.12,2019-02-11 12:00:00
"144",1.2,"NE",5.9,4.1,"N",0.27,2019-02-11 11:00:00
"145",1.3,"NE",6,5.4,"N",0.34,2019-02-11 10:00:00
"146",1.2,"E",5.3,4.3,"NNW",0.3,2019-02-11 09:00:00
"147",1.3,"NE",5.2,5.1,"N",0.18,2019-02-11 08:00:00
"148",1.5,"NE",5.5,5.1,"NNE",0.01,2019-02-11 07:00:00
"149",1.4,"NE",5.7,5.5,"NNE",-0.17,2019-02-11 06:00:00
"150",1.2,"NE",6,2,"WNW",-0.34,2019-02-11 05:00:00
"151",1.3,"NE",6.2,2.4,"WNW",-0.48,2019-02-11 04:00:00
"152",1.1,"NE",6.8,2.5,"WNW",-0.49,2019-02-11 03:00:00
"153",1,"NE",6.5,3.2,"NNW",-0.37,2019-02-11 02:00:00
"154",1.1,"NE",6.8,3.1,"NW",-0.16,2019-02-11 01:00:00
"155",1,"E",7,2.6,"NW",0.05,2019-02-11 00:00:00
"156",1.2,"NE",7.2,2.3,"WNW",0.26,2019-02-10 23:00:00
"157",1.1,"E",7.3,2.4,"WNW",0.4,2019-02-10 22:00:00
"158",1.1,"E",6.4,2.6,"NNW",0.44,2019-02-10 21:00:00
"159",1.2,"NE",6.4,1.8,"NW",0.37,2019-02-10 20:00:00
"160",1.3,"NE",6.6,2.4,"NNW",0.22,2019-02-10 19:00:00
"161",1.4,"NE",6.6,3.1,"N",0.02,2019-02-10 18:00:00
"162",1.5,"NE",7.1,2.2,"NNE",-0.16,2019-02-10 17:00:00
"163",1.3,"NE",6.7,3.8,"NNE",-0.29,2019-02-10 16:00:00
"164",1.2,"NE",6.6,3.4,"NNE",-0.31,2019-02-10 15:00:00
"165",1.3,"E",6.9,2.9,"NNE",-0.25,2019-02-10 14:00:00
"166",1.3,"NE",6.9,3.3,"N",-0.06,2019-02-10 13:00:00
"167",1,"E",6.4,3.1,"N",0.14,2019-02-10 12:00:00
"168",1,"NE",7,2.6,"NNW",0.32,2019-02-10 11:00:00
"169",1.2,"NE",6.9,2.4,"NW",0.45,2019-02-10 10:00:00
"170",1.2,"NE",6.4,3,"NNW",0.47,2019-02-10 09:00:00
"171",1.3,"NE",6.1,3.1,"NNW",0.38,2019-02-10 08:00:00
"172",1.6,"NE",6.5,4.7,"NW",0.2,2019-02-10 07:00:00
"173",1.3,"NE",6.2,3.8,"WNW",-0.02,2019-02-10 06:00:00
"174",1.6,"NE",6.5,3.6,"WNW",-0.27,2019-02-10 05:00:00
"175",1.4,"NE",6.1,4,"W",-0.44,2019-02-10 04:00:00
"176",1.8,"NE",6.1,5.7,"NNW",-0.56,2019-02-10 03:00:00
"177",1.5,"NE",5.7,5.2,"N",-0.48,2019-02-10 02:00:00
"178",1.6,"NE",6,5.6,"N",-0.32,2019-02-10 01:00:00
"179",1.2,"NE",5.3,6,"NNE",-0.1,2019-02-10 00:00:00
"180",1.2,"NE",5.1,6.5,"NNE",0.15,2019-02-09 23:00:00
"181",1.2,"NE",4.8,6.5,"NNE",0.37,2019-02-09 22:00:00
"182",1.2,"NE",5.4,6.5,"NNE",0.5,2019-02-09 21:00:00
"183",1.5,"NE",5.6,7.2,"NNE",0.48,2019-02-09 20:00:00
"184",1.7,"NE",5.7,7.9,"NNE",0.38,2019-02-09 19:00:00
"185",1.6,"NE",5.5,7.4,"NNE",0.19,2019-02-09 18:00:00
"186",1.3,"NE",4.9,7.7,"NNE",-0.03,2019-02-09 17:00:00
"187",1.2,"NE",5.2,6.6,"NNE",-0.2,2019-02-09 16:00:00
"188",1.1,"-",4.95,8.5,"NNE",-0.34,2019-02-09 15:00:00
"189",1,"NE",4.7,6.4,"NNE",-0.32,2019-02-09 14:00:00
"190",1.1,"NE",5,7.5,"NNE",-0.22,2019-02-09 13:00:00
"191",0.9,"NE",6.2,6.3,"NE",-0.02,2019-02-09 12:00:00
"192",1,"NE",7,4.2,"NNE",0.17,2019-02-09 11:00:00
"193",0.8,"NE",6.3,2,"NNE",0.35,2019-02-09 10:00:00
"194",0.9,"NE",5.9,3.1,"WNW",0.43,2019-02-09 09:00:00
"195",1,"E",6.3,2.7,"W",0.42,2019-02-09 08:00:00
"196",1,"NE",6.3,3.2,"WNW",0.25,2019-02-09 07:00:00
"197",1.4,"NE",6.9,1.5,"W",0.03,2019-02-09 06:00:00
"198",1.3,"NE",6.8,1.8,"WNW",-0.22,2019-02-09 05:00:00
"199",1.3,"NE",7.3,1.4,"WSW",-0.43,2019-02-09 04:00:00
"200",1.3,"NE",7.4,1.4,"NNW",-0.53,2019-02-09 03:00:00
"201",1.4,"NE",8.1,2.4,"WNW",-0.57,2019-02-09 02:00:00
"202",1.2,"NE",7.2,3.2,"NW",-0.4,2019-02-09 01:00:00
"203",1.2,"NE",7.7,4.3,"WNW",-0.13,2019-02-09 00:00:00
"204",1.1,"NE",7.6,4.3,"WNW",0.2,2019-02-08 23:00:00
"205",1.2,"E",7.2,3.1,"NW",0.48,2019-02-08 22:00:00
"206",1.2,"E",6.7,2.9,"WNW",0.67,2019-02-08 21:00:00
"207",1.2,"NE",6.6,5.1,"NNW",0.72,2019-02-08 20:00:00
"208",1.4,"NE",6.4,5.5,"N",0.69,2019-02-08 19:00:00
"209",1.7,"NE",7.1,4.8,"N",0.53,2019-02-08 18:00:00
"210",1.4,"NE",6.6,5.4,"N",0.28,2019-02-08 17:00:00
"211",1.6,"NE",6.8,5.4,"N",0,2019-02-08 16:00:00
"212",1.8,"NE",7.2,6.1,"N",-0.18,2019-02-08 15:00:00
"213",1.2,"NE",5.9,5.7,"N",-0.28,2019-02-08 14:00:00
"214",1.2,"NE",5.9,6.2,"N",-0.22,2019-02-08 13:00:00
"215",1.1,"NE",6,5.6,"N",-0.04,2019-02-08 12:00:00
"216",1,"NE",5.1,6.3,"NNE",0.17,2019-02-08 11:00:00
"217",1,"NE",4.9,6.3,"NNE",0.39,2019-02-08 10:00:00
"218",1.1,"NE",5,3.4,"NNW",0.54,2019-02-08 09:00:00
"219",1.4,"NE",5.3,5.2,"N",0.54,2019-02-08 08:00:00
"220",1.5,"NE",5.4,7.2,"N",0.42,2019-02-08 07:00:00
"221",1.7,"NE",5.9,6.8,"N",0.18,2019-02-08 06:00:00
"222",1.4,"NE",5.1,6.9,"N",-0.11,2019-02-08 05:00:00
"223",1.3,"NE",4.7,8.1,"NNE",-0.41,2019-02-08 04:00:00
"224",1.1,"NE",4.6,7.3,"N",-0.59,2019-02-08 03:00:00
"225",1.2,"NE",4.3,7.3,"NNE",-0.66,2019-02-08 02:00:00
"226",1.2,"NE",4.3,8.2,"NNE",-0.55,2019-02-08 01:00:00
"227",1.1,"NE",4.1,9.9,"NNE",-0.34,2019-02-08 00:00:00
"228",1.2,"NE",4.1,10,"NNE",-0.02,2019-02-07 23:00:00
"229",1.3,"NE",4.3,10.3,"NNE",0.3,2019-02-07 22:00:00
"230",1.1,"NE",4.1,10.8,"NNE",0.56,2019-02-07 21:00:00
"231",1,"NE",4,10,"NNE",0.71,2019-02-07 20:00:00
"232",0.6,"E",4.8,9.4,"NNE",0.76,2019-02-07 19:00:00
"233",0.6,"E",4.8,1.7,"NE",0.62,2019-02-07 18:00:00
"234",0.6,"E",5.4,3.3,"ESE",0.41,2019-02-07 17:00:00
