"","WaveHeight","WaveDir","WavePeriod","WindSpeed","WindDirection","Tide","DateTime"
"3",1.7,"NE",6.5,5.1,"SE",0.11,2019-02-17 08:00:00
"4",1.4,"NE",6.3,5.4,"N",0.26,2019-02-17 07:00:00
"5",1.4,"E",6,4.5,"ENE",0.4,2019-02-17 06:00:00
"6",1.4,"NE",6,4.1,"ESE",0.47,2019-02-17 05:00:00
"7",1.3,"E",6.2,3.8,"SSE",0.45,2019-02-17 04:00:00
"8",1.2,"E",6,3.1,"S",0.24,2019-02-17 03:00:00
"9",1.4,"NE",6.3,3.9,"WNW",-0.03,2019-02-17 02:00:00
"10",1.4,"SE",6.2,3.1,"NE",-0.27,2019-02-17 01:00:00
"11",1.5,"E",6.3,3.7,"NE",-0.47,2019-02-17 00:00:00
"12",1.3,"E",5.9,6,"W",-0.57,2019-02-16 23:00:00
"13",1.1,"SE",5.9,3,"SSW",-0.58,2019-02-16 22:00:00
"14",1.2,"E",6.2,3.7,"WSW",-0.46,2019-02-16 21:00:00
"15",1.2,"NE",6.1,5.1,"NNW",-0.24,2019-02-16 20:00:00
"16",1.2,"E",5.5,7,"S",0.04,2019-02-16 19:00:00
"17",1.4,"NE",5.9,6.8,"N",0.33,2019-02-16 18:00:00
"18",1.2,"NE",5.4,6.7,"E",0.56,2019-02-16 17:00:00
"19",1.2,"NE",5.7,6.4,"SSE",0.68,2019-02-16 16:00:00
"20",1.1,"E",5.8,5.9,"SSW",0.7,2019-02-16 15:00:00
"21",1.1,"SE",5.9,5.8,"SSW",0.59,2019-02-16 14:00:00
"22",1,"E",5.5,5.5,"S",0.42,2019-02-16 13:00:00
"23",1,"E",6.6,5.4,"S",0.25,2019-02-16 12:00:00
"24",1.1,"E",7.3,3.8,"N",0.08,2019-02-16 11:00:00
"25",1,"E",7.2,1.4,"NW",-0.02,2019-02-16 10:00:00
"26",1.1,"E",7.2,4.4,"W",-0.06,2019-02-16 09:00:00
"27",1,"E",7.1,5.6,"ENE",-0.02,2019-02-16 08:00:00
"28",1,"E",7,4.6,"NNW",0.06,2019-02-16 07:00:00
"29",1,"E",7.2,4.1,"NNW",0.16,2019-02-16 06:00:00
"30",1.1,"E",7.8,3.9,"NNE",0.23,2019-02-16 05:00:00
"31",1.2,"NE",7.6,4.1,"NE",0.28,2019-02-16 04:00:00
"32",0.9,"E",6.9,3.3,"NNE",0.25,2019-02-16 03:00:00
"33",1.1,"NE",7.4,3.5,"ENE",0.14,2019-02-16 02:00:00
"34",1.1,"E",7.3,4,"NNE",-0.05,2019-02-16 01:00:00
"35",1,"NE",6.8,3.2,"SE",-0.25,2019-02-16 00:00:00
"36",1.2,"NE",7.3,3.4,"S",-0.39,2019-02-15 23:00:00
"37",1.2,"E",6.9,2.3,"NE",-0.48,2019-02-15 22:00:00
"38",1.3,"E",7,2.9,"SE",-0.47,2019-02-15 21:00:00
"39",1.2,"SE",6.4,2.9,"NNE",-0.37,2019-02-15 20:00:00
"40",1.3,"E",6.7,4.4,"N",-0.2,2019-02-15 19:00:00
