"","WaveHeight","WaveDir","WavePeriod","WindSpeed","WindDirection","Tide","DateTime"
"3",0.8,"NW",4.8,3.7,"NNE",-0.1,2019-02-17 08:00:00
"4",0.9,"W",4.7,4.6,"N",-0.07,2019-02-17 07:00:00
"5",1,"NW",4.7,4.8,"N",-0.07,2019-02-17 06:00:00
"6",0.9,"NW",4.8,4.7,"N",-0.14,2019-02-17 05:00:00
"7",0.9,"W",4.7,5.7,"NNW",-0.23,2019-02-17 04:00:00
"8",0.7,"SE",4.8,5.3,"NNW",-0.35,2019-02-17 03:00:00
"9",0.8,"SE",4.9,3.4,"NNW",-0.44,2019-02-17 02:00:00
"10",0.7,"SE",5.1,3.8,"NNW",-0.5,2019-02-17 01:00:00
"11",0.7,"SE",5.1,4.9,"NW",-0.5,2019-02-17 00:00:00
"12",0.8,"NW",5,2.1,"NNW",-0.4,2019-02-16 23:00:00
"13",0.7,"W",5,1.9,"NNE",-0.24,2019-02-16 22:00:00
"14",0.8,"NW",4.9,2.6,"NNE",-0.04,2019-02-16 21:00:00
"15",0.7,"NW",4.3,2.8,"N",0.16,2019-02-16 20:00:00
"16",0.6,"W",4.6,5.6,"NNW",0.34,2019-02-16 19:00:00
"17",0.5,"S",4.6,4.9,"NW",0.46,2019-02-16 18:00:00
"18",0.6,"SW",4.3,3.9,"NW",0.51,2019-02-16 17:00:00
"19",0.6,"S",4.4,2.6,"W",0.46,2019-02-16 16:00:00
"20",0.6,"W",4.2,2.1,"W",0.37,2019-02-16 15:00:00
"21",0.6,"S",4.2,1.3,"W",0.23,2019-02-16 14:00:00
"22",0.5,"NW",4.2,2.3,"WNW",0.08,2019-02-16 13:00:00
"23",0.5,"SE",4.2,3.2,"WNW",-0.04,2019-02-16 12:00:00
"24",0.5,"S",4.8,2.3,"NE",-0.12,2019-02-16 11:00:00
"25",0.5,"SE",4.5,4.1,"NE",-0.15,2019-02-16 10:00:00
"26",0.5,"SE",5,4.4,"NE",-0.16,2019-02-16 09:00:00
"27",0.5,"SE",4.7,4.6,"NNE",-0.14,2019-02-16 08:00:00
"28",0.5,"SE",4.5,3.4,"NNE",-0.11,2019-02-16 07:00:00
"29",0.4,"S",4.4,3.8,"NNE",-0.08,2019-02-16 06:00:00
"30",0.5,"S",4.5,3.4,"ESE",-0.07,2019-02-16 05:00:00
"31",0.5,"SW",4.6,3.3,"SE",-0.11,2019-02-16 04:00:00
"32",0.6,"S",4.7,2.9,"SE",-0.2,2019-02-16 03:00:00
"33",0.6,"S",4.6,3,"ESE",-0.29,2019-02-16 02:00:00
"34",0.6,"S",4.4,2.8,"E",-0.37,2019-02-16 01:00:00
"35",0.7,"S",4.8,3.4,"ENE",-0.42,2019-02-16 00:00:00
"36",0.8,"S",4.9,3,"ENE",-0.42,2019-02-15 23:00:00
"37",0.8,"S",4.8,2.25,"-",-0.34,2019-02-15 22:00:00
"38",0.9,"S",5,1.5,"SE",-0.2,2019-02-15 21:00:00
"39",0.8,"S",4.9,1.9,"SSE",-0.03,2019-02-15 20:00:00
"40",0.9,"S",4.8,2.5,"S",0.14,2019-02-15 19:00:00
"41",0.9,"S",4.9,3.4,"S",0.29,2019-02-15 18:00:00
"42",0.9,"S",5,4.6,"S",0.41,2019-02-15 17:00:00
"43",1,"S",4.6,5.2,"S",0.44,2019-02-15 16:00:00
"44",0.8,"S",4.4,5.4,"S",0.41,2019-02-15 15:00:00
"45",0.8,"W",4.4,6.3,"S",0.31,2019-02-15 14:00:00
"46",0.7,"W",4.6,6.6,"SSE",0.19,2019-02-15 13:00:00
"47",0.7,"W",4.6,5.6,"-",0.06,2019-02-15 12:00:00
