"","WaveHeight","WaveDir","WavePeriod","WindSpeed","WindDirection","Tide","DateTime"
"3",1.2,"NE",5.6,8,"NNE",0.14,2019-02-17 08:00:00
"4",1.1,"NE",6.4,7.9,"NNE",0.29,2019-02-17 07:00:00
"5",1.1,"NE",5.7,7.6,"NNE",0.38,2019-02-17 06:00:00
"6",0.9,"NE",5.6,7.9,"N",0.34,2019-02-17 05:00:00
"7",0.9,"N",5,9,"N",0.24,2019-02-17 04:00:00
"8",0.8,"N",4.9,8.6,"NNE",0.07,2019-02-17 03:00:00
"9",1.2,"NE",6,7.6,"NNE",-0.14,2019-02-17 02:00:00
"10",1.2,"NE",5.8,8.5,"NNE",-0.4,2019-02-17 01:00:00
"11",1.2,"NE",5.7,6,"NNE",-0.59,2019-02-17 00:00:00
"12",1.4,"NE",5.6,7.2,"NNE",-0.64,2019-02-16 23:00:00
"13",1.3,"NE",5.4,6,"NNE",-0.69,2019-02-16 22:00:00
"14",1.1,"NE",5.1,7.5,"NNE",-0.57,2019-02-16 21:00:00
"15",1.1,"NE",4.9,6.9,"NNE",-0.26,2019-02-16 20:00:00
"16",1,"NE",4.9,8.7,"NNE",-0.04,2019-02-16 19:00:00
"17",1.1,"NE",5.1,8.4,"NNE",0.2,2019-02-16 18:00:00
"18",1.3,"NE",5.5,8.4,"NNE",0.37,2019-02-16 17:00:00
"19",1.5,"NE",5.7,8.4,"NNE",0.48,2019-02-16 16:00:00
"20",1.4,"NE",5.8,9.9,"NNE",0.53,2019-02-16 15:00:00
"21",1.2,"NE",6,8.3,"NNE",0.4,2019-02-16 14:00:00
"22",1,"NE",5,8.2,"NNE",0.28,2019-02-16 13:00:00
"23",1.05,"-",5.25,7.2,"NNE",0.1,2019-02-16 12:00:00
"24",1.1,"NE",5.5,6.6,"NNE",0.04,2019-02-16 11:00:00
"25",0.9,"N",5.2,6.1,"N",-0.03,2019-02-16 10:00:00
"26",0.9,"NE",4.9,5.9,"NNE",-0.03,2019-02-16 09:00:00
"27",0.8,"NE",5.4,5.8,"NNE",0.02,2019-02-16 08:00:00
"28",0.7,"N",4.8,7.5,"NNE",0.09,2019-02-16 07:00:00
"29",0.7,"N",4.5,7.4,"NNE",0.19,2019-02-16 06:00:00
"30",0.8,"NE",5.2,7.3,"NNE",0.21,2019-02-16 05:00:00
"31",0.6,"NE",5.4,7.3,"NNE",0.2,2019-02-16 04:00:00
"32",0.8,"NE",5.4,6.7,"NE",0.1,2019-02-16 03:00:00
"33",0.7,"NE",5,7.2,"NE",-0.04,2019-02-16 02:00:00
"34",0.8,"NE",5.2,6.3,"NE",-0.22,2019-02-16 01:00:00
"35",0.75,"-",5.3,7,"NE",-0.42,2019-02-16 00:00:00
"36",0.7,"NE",5.4,7.2,"ENE",-0.54,2019-02-15 23:00:00
"37",0.75,"-",5.65,5.4,"ENE",-0.61,2019-02-15 22:00:00
"38",0.8,"E",5.9,5.7,"ENE",-0.57,2019-02-15 21:00:00
"39",0.9,"S",6.3,6.2,"ENE",-0.48,2019-02-15 20:00:00
"40",1,"NE",6.6,5.8,"NE",-0.33,2019-02-15 19:00:00
"41",0.8,"E",6,4.8,"ENE",-0.09,2019-02-15 18:00:00
"42",0.8,"NE",6.4,4.6,"ENE",0.14,2019-02-15 17:00:00
"43",0.9,"E",6.3,2.6,"E",0.28,2019-02-15 16:00:00
"44",0.9,"NE",6.2,3.4,"ENE",0.42,2019-02-15 15:00:00
"45",1,"NE",6.3,2.8,"NE",0.42,2019-02-15 14:00:00
"46",0.9,"NE",5.7,2.9,"E",0.37,2019-02-15 13:00:00
"47",1,"N",5.8,2.8,"E",0.25,2019-02-15 12:00:00
"48",1.1,"N",6.5,3.9,"ENE",0.17,2019-02-15 11:00:00
"49",1.1,"NE",6.6,1.8,"ESE",0.08,2019-02-15 10:00:00
"50",1.1,"N",6.7,2.9,"ENE",0.01,2019-02-15 09:00:00
"51",0.9,"N",6.6,1.3,"SE",0,2019-02-15 08:00:00
"52",1.1,"N",7.1,1.23333333333333,"-",0,2019-02-15 07:00:00
"53",0.8,"S",6.7,1.16666666666667,"-",0.04,2019-02-15 06:00:00
"54",0.8,"S",6.6,1.1,"N",0.07,2019-02-15 05:00:00
"55",0.8,"E",6.6,1.1,"-",0.1,2019-02-15 04:00:00
"56",0.9,"E",6.5,1.1,"-",0.07,2019-02-15 03:00:00
"57",1.1,"NE",6.9,1.1,"-",0.01,2019-02-15 02:00:00
"58",1.2,"E",6.5,1.1,"N",-0.02,2019-02-15 01:00:00
"59",1.3,"NE",6.4,2.2,"W",-0.15,2019-02-15 00:00:00
"60",1,"N",5.5,2.7,"-",-0.28,2019-02-14 23:00:00
"61",1.3,"NE",5.9,3.2,"-",-0.38,2019-02-14 22:00:00
"62",1.3,"NE",6.1,3.7,"N",-0.45,2019-02-14 21:00:00
"63",0.8,"NE",5.4,4.5,"NNE",-0.45,2019-02-14 20:00:00
"64",1,"NE",5.9,3.9,"NNE",-0.41,2019-02-14 19:00:00
"65",1.1,"NE",5.4,4.6,"NNE",-0.25,2019-02-14 18:00:00
"66",1.1,"NE",5.7,6.6,"NNE",-0.07,2019-02-14 17:00:00
"67",1.2,"NE",5.6,6.4,"NE",0.11,2019-02-14 16:00:00
"68",1.3,"NE",5.8,6.7,"NNE",0.24,2019-02-14 15:00:00
"69",1.2,"NE",5.7,8.1,"NE",0.36,2019-02-14 14:00:00
"70",1.4,"NE",5.7,9.1,"NE",0.37,2019-02-14 13:00:00
"71",1.3,"NE",5.5,7.9,"NE",0.34,2019-02-14 12:00:00
"72",1.3,"NE",5.4,7,"NNE",0.25,2019-02-14 11:00:00
"73",1.5,"E",6.3,4.9,"ENE",0.16,2019-02-14 10:00:00
"74",1.3,"NE",6.3,1.2,"ENE",0.13,2019-02-14 09:00:00
"75",1.1,"NE",6.5,1.1,"W",0.08,2019-02-14 08:00:00
"76",1.1,"NE",6.4,3.8,"NNE",0.01,2019-02-14 07:00:00
"77",1.1,"NE",6.5,2.6,"E",-0.05,2019-02-14 06:00:00
"78",1,"NE",6.6,1.3,"NNW",0,2019-02-14 05:00:00
"79",0.9,"NE",6.7,2.5,"W",0.02,2019-02-14 04:00:00
"80",0.7,"S",6.1,2.3,"W",0.11,2019-02-14 03:00:00
